Student Age,Sex,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Do you have a partner,Total salary if available,Transportation to university,Accommodation type,Mothers education,Fathers education,Number of siblings,Parental status,Mothers occupation,Fathers occupation,Weekly study hours,Reading frequency (non-scientific),Reading frequency (scientific),Attendance to seminars/conferences,Impact of projects/activities on success,Attendance to classes,Preparation for midterm exams 1,Preparation for midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves interest,Flip-classroom,Cumulative GPA (last semester),Expected graduation,Course ID,OUTPUT Grade
2,1,2,1,2,1,1,2,1,2,3,4,2,1,3,3,3,2,2,2,3,2,2,2,3,2,2,2,1,1,13,7
1,1,1,2,2,1,1,5,3,3,5,4,1,1,3,3,4,2,1,1,2,2,3,2,3,3,2,2,4,2,8,8
3,1,2,5,2,2,1,1,1,3,2,3,2,1,5,5,4,2,3,1,2,1,3,2,3,3,2,2,2,1,3,8
1,1,1,3,1,1,1,4,1,1,3,4,3,1,5,3,3,2,3,2,1,1,2,1,3,2,2,1,2,1,9,6
1,2,3,3,1,2,1,3,1,3,3,5,2,1,5,3,3,2,3,1,2,1,2,2,1,3,2,1,4,2,13,8
2,1,2,3,2,1,2,2,4,3,6,3,1,1,5,5,2,2,3,2,1,1,2,2,1,3,2,2,5,1,8,5
1,1,2,3,2,2,2,3,2,3,4,4,1,1,3,4,3,2,2,1,1,2,2,1,2,2,1,3,4,2,7,6
1,1,1,2,2,2,1,4,1,3,3,1,5,1,4,5,1,2,3,2,3,3,1,2,3,3,3,1,2,1,2,6
3,2,2,5,2,2,1,1,1,1,2,5,3,1,5,4,2,3,2,2,2,3,2,3,2,3,1,2,5,2,4,5
2,2,3,2,1,1,1,2,2,3,5,1,2,1,3,4,2,3,2,2,3,1,2,2,3,3,3,1,2,2,6,6
2,2,1,3,1,2,1,1,1,2,4,3,4,1,3,3,5,1,2,2,2,3,1,2,3,3,3,1,3,1,13,5
2,1,2,4,1,1,1,2,3,3,6,3,3,1,5,5,4,2,2,1,3,2,3,2,1,2,2,2,3,2,4,8
2,1,2,1,2,2,2,3,3,3,3,6,3,1,3,5,2,1,1,1,2,2,3,2,2,3,2,2,3,2,8,2
2,2,2,1,2,2,1,2,3,4,4,5,1,2,1,4,2,3,1,1,2,2,1,2,3,2,1,1,2,1,6,5
1,2,2,3,2,2,2,1,3,2,1,3,2,1,4,5,2,2,2,2,1,2,2,2,3,2,2,2,5,1,8,3
2,1,2,3,1,1,1,3,1,1,4,4,3,1,1,1,4,1,2,2,3,3,2,2,2,3,2,1,4,1,7,7
1,1,2,1,1,2,2,2,1,2,4,3,4,1,1,3,3,2,1,2,2,3,2,1,3,3,1,3,3,1,11,2
1,2,2,5,2,2,2,4,1,1,6,3,2,1,3,5,3,1,1,2,3,1,3,2,2,3,3,3,3,1,13,6
